ID,MLS,Title,Currency,Price,Type,listingType,District,Description,Bedrooms,Bathrooms,Garage,Stories,Zoning,SquareFt,Acreage,YearBuilt,Views,Furnished,Tennis,Dock,Alarm,Gym,Pictures,Videos
654,409420,"Montage South Sound Phase 1",usd,1700000,Residential,"Standalone Home (Part of Strata)","South Sound","<p>Located within walking distance to South Sound beach, Montage South Sound Phase 1 is a family-friendly community within itself consisting of 14 private standalone homes most with their own private pools. Montage is being built specifically with families in mind where kids can run around safely within the neighborhood. Its excellent location on Walkers Road, which is on the same side of the street as the schools, allows parents and kids to walk to school within a few minutes. These partially colonial Caymanian style homes with a hardy plank accent tout amazing, open flow floor plans with families in mind. Built with energy efficiency technology, these homes feature generously sized bedrooms, a beautiful master with ensuite and lots of extra space. Each home has a single car garage, as well as front and back porches. Easy access to town and sports. Additional upgrades available. Construction will commence 3 months after signing and exchanging of formal contracts and deposits! Included in the maintenance fees: gate, street light, front yard landscaping, buttonwood hedge in front, garbage removal, driveway.</p>
<p> </p>",4,3,1,,,3800,,2020,"Garden View",No,0,0,0,0,"https://images.remax.ky/listings/654/photo-ouline-pink.jpg, https://images.remax.ky/listings/654/7f8acbdcb3bcb5d024ad8b56.jpg, https://images.remax.ky/listings/654/b3e55220ad60f199fceb9419.jpg, https://images.remax.ky/listings/654/c9dd0f77b37503dbe8864e92.jpg, https://images.remax.ky/listings/654/de5c7181755e60ebf847b366.jpg, https://images.remax.ky/listings/654/c667acbf8db78072a63e1ef0.jpg, https://images.remax.ky/listings/654/4917e14006604bf07527f192.jpg",
672,409474,"Little Cayman Development Acreage",usd,499000,Land,"Little Cayman/Cayman Brac","Little Cayman East","<p>Ideal for Sub-Division, 36 Lot Sub-Division Possible. Parcel Size is 14.4 Acres Allowing Purchaser Multiple Development Options. Located in Picturesque Island Environment on Exclusive Little Cayman</p>",,,No,,,,14.4,,"Garden View",,0,0,0,0,https://images.remax.ky/listings/672/f5bd4d8dc43954cd5b2f33dd.jpg,
912,410144,"506 Downtown Reach",cid,245000,Residential,Condominium,"George Town East","<p>Downtown Reach is a new residential development just five minutes from George Town right off the Linford Pierson Highway. Closely located to the amenities of George Town and the Grand Harbour area, the price point and locale are unbeatable. Phase 1 is set to be sold out before ground breaking in May 2019. This is an opportunity to purchase your first home at significant savings with stamp duty exception for first time Caymanian buyers. It is equally a great opportunity if you are seeking an investment property with a projected ROI of between 5 to 7%. The initial phase will include 30 one bedroom units and at the time of listing, there are 2 remaining units at the pre-construction prices.</p>
",1,1.5,,,,646,,2020,"Garden View",Partially,0,0,0,0,"https://images.remax.ky/listings/912/2e5934f98a3b8e081ebf68a1.jpg, https://images.remax.ky/listings/912/23e6064178c410788d2e2575.jpg, https://images.remax.ky/listings/912/d214002663c604cf4b49b9c6.jpg, https://images.remax.ky/listings/912/f7726e90cfb2e5471f8fb2ad.jpg, https://images.remax.ky/listings/912/cde7c81bff87587db242aa3f.jpg, https://images.remax.ky/listings/912/9f1d2c97e57f4a6c15df6f9a.jpg, https://images.remax.ky/listings/912/182452c72dac176f3652d672.jpg",
935,410231,"Brac Bluff Top 11 Acres",cid,625000,Land,"Little Cayman/Cayman Brac","Cayman Brac East","<p>11 Acre Parcel on the Northern Edge of the Bluff on Cayman Brac.  Average Height Above Sea Level of 100 Feet +, Ideal for Lot Sub-Division.  </p>",,,No,,,,11,,"Garden View",,0,0,0,0,"https://images.remax.ky/listings/935/b538ac9cf7256d38a0a7e5fa.jpg, https://images.remax.ky/listings/935/715834e63d583ffc0173b658.jpg, https://images.remax.ky/listings/935/ae641f7a8840841c797d396f.jpg, https://images.remax.ky/listings/935/4772d7cf8fa93d2cbb85e4fa.jpg",
951,410269,"Little Cayman Beachfront Parcel",usd,215000,Land,"Little Cayman/Cayman Brac","Little Cayman West","<p>This parcel is at the end of the runway, heading West with great road access, is very convenient to everything, as well as being on the south side of the island, along with sloping elevation from the road tapering down to the water, with decent beach, making it very attractive.  Elevation starts at about 4' rises to 14' at the ridge line.  Close distance from the beach to the reef.  It is a lovely spot on Little Cayman, with spectacular views, great depth and wonderful breezes.</p>",,,No,,,,0.6,,"Beach Front",,0,0,0,0,"https://images.remax.ky/listings/951/b38bd61280b6a363d6dedf80.jpg, https://images.remax.ky/listings/951/659202655a0ab6a5ed0882e1.jpg, https://images.remax.ky/listings/951/968cb1793b10255605c46186.jpg, https://images.remax.ky/listings/951/cdbd7d647ba9b2af1b3eb601.jpg",
957,410291,"Development Lot off Bolton's Avenue",cid,299000,Land,"Low Density Residential","W Bay North West","<p>Large Development Parcel in Town Hall Crescent (off Bolton's Avenue), the Best Inland Neighborhood in West Bay.  Large Parcel at Almost 1 Acre Suitable for Sub-Division to 3-4 Lots or To Build Apartments.  Only Parcel Available in Town Hall Crescent (Bolton's Avenue).</p>",,,No,,"Low Density Residential",,0.8,,"Garden View",,0,0,0,0,"https://images.remax.ky/listings/957/fb2c4807a159fc6960dcea91.jpg, https://images.remax.ky/listings/957/bdb0d8fc7564aecb3367efd3.jpg, https://images.remax.ky/listings/957/7709c015a263c03fa1111bf7.jpg, https://images.remax.ky/listings/957/1e00203ec73d52fd47b8706a.jpg",
996,,"Frenchman's Drive",cid,80000,Land,"Low Density Residential",Breakers,"<p>START BUILDING YOUR WEALTH TODAY WITH THIS FINE HOUSE LOT. IT'S PRICED RIGHT AND READY TO GO. DON'T MISS YOUR OPPORTUNITY WITH THIS GREAT STARTER PROPERTY!<br></p>
",,,,,"Low Density Residential",,0.26,,"Garden View",,0,0,0,0,,
1070,,"Camana Bay - Fantastic Office Space",usd,12000,Commercial,Office,"W Bay Bch South","<p>Fully furnished designer office space, with shared facilities. 1680sf offering the option to further share additional boardroom, kitchen and reception areas. Facility is ready to go, furnished and wired.<br></p>
",,,,5,Commercial,1680,1,2015,"Water Front,Water View",Yes,0,0,1,0,"https://images.remax.ky/listings/1070/aba6c9141ac4b396adb33ffb.jpg, https://images.remax.ky/listings/1070/11cb8281188ca7dd3be99554.jpg, https://images.remax.ky/listings/1070/03a463234a5b4102eb29058a.jpg, https://images.remax.ky/listings/1070/9024be1795a8c7b2f009d109.jpg, https://images.remax.ky/listings/1070/8832dfefaa37dd2d27fde068.jpg",
1180,411075,"Beach Front Home, Cayman Brac",cid,510000,Residential,"Single Family Home","Cayman Brac Centr","<p>Fantastic beach front location, come in and renovate this wonderful beachfront property. Needs attention, some parts of the property are unfinished.</p>",4,4,No,2,"Beach Resort/Residential",4100,0.66,2008,"Beach Front",,0,0,0,0,https://images.remax.ky/listings/1180/457160cfaffa82b873d48721.jpg,
1211,411230,"The Retreat #17",usd,940000,Residential,Condominium,"Rum Point","<p>Pristine and private location in a tranquil setting, which features incredible views out to the sandy beach and Caribbean Sea from your Living Room, Dining Room, Master Bedroom and expansive screened Patio. Walk out from your Patio to the crystal clear Sea and gorgeous beach. An abundance of marine life, just out front in the calm water is ideal for snorkeling. Amenities offered at The Retreat: On Site Management, Gym, Game Room, Tennis and Fresh Water Pool. Next door is the Rum Point Club offering Water Sport Activities and Dining. Great investment for family use with good rental income during the year! New development in this area is adding to the attraction and improving property values.</p>",2,2,No,,,1614,,1984,"Beach Front",Yes,1,0,0,1,"https://images.remax.ky/listings/1211/6d802f877ff2b751372d6b6f.jpg, https://images.remax.ky/listings/1211/574641213622355e04af5375.jpg, https://images.remax.ky/listings/1211/038858c0f1a8fe31a3cf4f3f.jpg, https://images.remax.ky/listings/1211/a667ced1d48a8b8c5ba6a6cc.jpg, https://images.remax.ky/listings/1211/b6754804c44a95a0e4feed98.jpg, https://images.remax.ky/listings/1211/4b2246a0f088c4d4ecfd3ab8.jpg, https://images.remax.ky/listings/1211/17e9759b11dc3a79e50d27ba.jpg, https://images.remax.ky/listings/1211/690aab0e1119748408d38fc6.jpg, https://images.remax.ky/listings/1211/cfa348460f22c3a1ae2ffc9a.jpg, https://images.remax.ky/listings/1211/8dff298723ad4a3337acfbc1.jpg, https://images.remax.ky/listings/1211/ab1c88b867b718ba7feb7437.jpg, https://images.remax.ky/listings/1211/11599a88acbafc1f8f88efae.jpg, https://images.remax.ky/listings/1211/efb3652daab09777df34813b.jpg, https://images.remax.ky/listings/1211/687530915e4b8437f1b53e15.jpg, https://images.remax.ky/listings/1211/7950306b31dd840eb2273a8f.jpg, https://images.remax.ky/listings/1211/08521f49dec7499b2d0a5674.jpg, https://images.remax.ky/listings/1211/5bd9f87488442558ffa94de6.jpg, https://images.remax.ky/listings/1211/7c95a2b95006e8dd8ee3d5e1.jpg, https://images.remax.ky/listings/1211/138d40798ed552826184ac22.jpg, https://images.remax.ky/listings/1211/c1a647b39157b227e47e7154.jpg, https://images.remax.ky/listings/1211/f7210b15997254eae3584bec.jpg, https://images.remax.ky/listings/1211/3eb3f866bdf82ace0458d2fc.jpg, https://images.remax.ky/listings/1211/53c53c4ca81570be9a65e86a.jpg, https://images.remax.ky/listings/1211/ad2b3a01d6ce8903ce88d0f7.jpg, https://images.remax.ky/listings/1211/855ac633ba11d616ed21b28e.jpg",
1218,,"Herron Place, Health City",cid,0,Commercial,"Offices/Mixed Use","High Rock","<p>To lease - Brand New retail and office plaza situated at the entrance to Health City, East End. Retail, offices, medical use, or educational. Many different configurations available from 850sf to 3000sf.<br></p>
",,,,2,Commercial,1218,1,2019,"Garden View",No,0,0,0,0,,
1241,411362,"Carib Sands Ocean Front  2 Bedroom 2 Bath",usd,215000,Residential,Condominium,"Cayman Brac West","<p>Welcome home
to your updated, fully furnished, ocean front condo at Carib Sands. The views
from the balcony off your living room of the pool, dock, lagoon, ocean, and
sunset are breathtaking. This two bedroom, two bath with 1,078 square feet
offers resort style living on Cayman Brac centrally located to dining, shopping,
the airport, and resort activities. Enjoy the sparkling community pool, white
sand beach, or read your favorite book on the second story on site dock. Use as
your main home or vacation property with on-site management.</p>
",2,2,,,,1078,,2001,"Water Front",Yes,0,1,0,0,,
1275,411495,"Stone Island Residence",usd,3100000,Residential,"Single Family Home","W Bay Bch North","<p>This prime corner residence has an expansive verandah with sweeping water views, along with an abundance of natural light, and lots of privacy. It has been upgraded throughout with stacked stone wall finishes, oversized white porcelain flooring throughout. Kitchen has Espresso soft return wood cabinetry, top of the line appliances, Quartz countertop and backsplash. The residence features a grand entranceway with a striking Norstone finished wall, Espresso wood stairs with glass-railing staircase, vaulted ceilings, double garage, plunge pool, and more. Strategically located master bedroom patio with a view of the North Sound and a beautiful flowing breeze. Secure gated community on a private peninsula surrounded by a waterfront boardwalk and featuring lifestyle amenities and facilities. Perfect for families – minimal traffic, playground, park, and BBQ area, pool, clubhouse, tennis, and separate amenity building with gym, soft play area for children, private screening room, waterside owner’s conservatory, chef’s kitchen, and wine storage. Call now to view!</p>",3,4.5,2,3,Hotel/Tourism,4500,8,2019,"Canal Front",No,1,1,1,0,"https://images.remax.ky/listings/1275/d253d1b71b33e03e65ff106d.jpg, https://images.remax.ky/listings/1275/ffdfc40822a2c23b737bdfa5.jpg, https://images.remax.ky/listings/1275/4c8060f646ac4500d2313892.jpg, https://images.remax.ky/listings/1275/77de2bc47c2f784380d44251.jpg, https://images.remax.ky/listings/1275/aed8199848e5a6646ea40b90.jpg, https://images.remax.ky/listings/1275/d66e6a94687139c1512c5154.jpg, https://images.remax.ky/listings/1275/a734f82bbe93eebce7d6f697.jpg, https://images.remax.ky/listings/1275/2944fc7daa3fd0ed82faafcf.jpg, https://images.remax.ky/listings/1275/bc5f4d9e5d01fb02e8a0b3a1.jpg, https://images.remax.ky/listings/1275/2c5381a22f29d61264f8e891.jpg, https://images.remax.ky/listings/1275/0f7537b22a9e8b168c6a1b92.jpg, https://images.remax.ky/listings/1275/3e87a52fecacf634514a940b.jpg, https://images.remax.ky/listings/1275/1ddcf0d1020e0076b05339ff.jpg, https://images.remax.ky/listings/1275/676e1f349951550f3f3e8fff.jpg, https://images.remax.ky/listings/1275/76224219119e0c221e6f9973.jpg, https://images.remax.ky/listings/1275/d155048b30e42be80eda51e1.jpg, https://images.remax.ky/listings/1275/b0e7234a1a54c0564eff25de.jpg, https://images.remax.ky/listings/1275/64a41f5235b5b2d43346cf95.jpg, https://images.remax.ky/listings/1275/d5ba5790c8efedbc2ad9db58.jpg, https://images.remax.ky/listings/1275/2fa468ed997da829b0387c15.jpg, https://images.remax.ky/listings/1275/53058050f9c6de573441ea13.jpg, https://images.remax.ky/listings/1275/3b137b2f8cd017474138de0e.jpg, https://images.remax.ky/listings/1275/0e33b64b79bf3e4d8bd3f625.jpg, https://images.remax.ky/listings/1275/cd99baa247a581d136ed0c49.jpg, https://images.remax.ky/listings/1275/acdbe511f242d2d5dd61e3d3.jpg, https://images.remax.ky/listings/1275/8991a763d695ef42828fa483.jpg, https://images.remax.ky/listings/1275/f6aba00650beb6c238ecfceb.jpg, https://images.remax.ky/listings/1275/7b903690591b602c05307876.jpg, https://images.remax.ky/listings/1275/3b2fc7ec0e45f846cb424e7d.jpg, https://images.remax.ky/listings/1275/341dbc58290884131a26f7ff.jpg, https://images.remax.ky/listings/1275/58560a9faabbfc1b0f2732df.jpg, https://images.remax.ky/listings/1275/e379875d434f201a90e4a2e5.jpg, https://images.remax.ky/listings/1275/b52388f4dfd5c68d629bef73.jpg, https://images.remax.ky/listings/1275/2b4f6391e735c66cc3488038.jpg",
1277,411506,"Cayman Brac Beachfront Acreage",usd,4375000,Land,"Little Cayman/Cayman Brac","Cayman Brac Centr","<p>Spectacular stretch of sandy beachfront comprised of substantial acreage for development, in a pristine South Shore location. Great location for various types of development – compound of homes/villas, boutique resort, private residential estate with guest house, subdivision of beachfront lots, as a few examples. 12 acre parcels with over 1,000 feet of sandy beach for this low of a price are very rare in the Cayman Islands.</p>",,,No,,,,12.1,,"Beach Front",No,0,0,0,0,"https://images.remax.ky/listings/1277/8c578b60245ef79824829c9d.jpg, https://images.remax.ky/listings/1277/dc616496a59c962b06763499.jpg, https://images.remax.ky/listings/1277/488bb2a7b29cc339bc584943.jpg, https://images.remax.ky/listings/1277/46a183e1832b87d57cd07469.jpg",
